Date;Price;
02/01/2019;13900;
03/01/2019;13900;
04/01/2019;13900;
07/01/2019;13900;
08/01/2019;13900;
09/01/2019;13900;
10/01/2019;13900;
11/01/2019;13900;
14/01/2019;13900;
15/01/2019;13900;
16/01/2019;13900;
17/01/2019;13900;
18/01/2019;13900;
21/01/2019;13900;
22/01/2019;13750;
23/01/2019;13750;
24/01/2019;13750;
25/01/2019;13750;
28/01/2019;13750;
29/01/2019;13750;
30/01/2019;13750;
31/01/2019;13750;
01/02/2019;13750;
04/02/2019;13750;
06/02/2019;13750;
07/02/2019;13750;
08/02/2019;13750;
11/02/2019;13750;
12/02/2019;13750;
13/02/2019;13750;
14/02/2019;13750;
15/02/2019;13750;
18/02/2019;13750;
19/02/2019;13750;
20/02/2019;13750;
21/02/2019;13750;
22/02/2019;13750;
25/02/2019;13750;
26/02/2019;13750;
27/02/2019;13750;
28/02/2019;13750;
01/03/2019;13750;
04/03/2019;13750;
05/03/2019;13750;
06/03/2019;13750;
08/03/2019;13750;
11/03/2019;13750;
12/03/2019;13750;
13/03/2019;13750;
14/03/2019;13750;
15/03/2019;13750;
18/03/2019;13750;
19/03/2019;13750;
20/03/2019;13750;
21/03/2019;14000;
22/03/2019;14000;
25/03/2019;14000;
26/03/2019;14000;
27/03/2019;14000;
28/03/2019;14000;
29/03/2019;14000;
01/04/2019;14000;
02/04/2019;14000;
04/04/2019;14000;
05/04/2019;14000;
08/04/2019;14150;
09/04/2019;14150;
10/04/2019;14150;
11/04/2019;14150;
12/04/2019;14150;
15/04/2019;14150;
16/04/2019;14150;
18/04/2019;14150;
22/04/2019;14150;
23/04/2019;14150;
24/04/2019;14150;
25/04/2019;14150;
26/04/2019;14150;
29/04/2019;14000;
30/04/2019;14000;
02/05/2019;14000;
03/05/2019;14000;
06/05/2019;14000;
07/05/2019;14000;
08/05/2019;14000;
09/05/2019;14000;
10/05/2019;14000;
13/05/2019;14000;
14/05/2019;14000;
15/05/2019;14000;
16/05/2019;14000;
17/05/2019;14000;
20/05/2019;14000;
21/05/2019;14000;
22/05/2019;14000;
23/05/2019;14000;
24/05/2019;14000;
27/05/2019;14000;
28/05/2019;14000;
29/05/2019;14000;
31/05/2019;14000;
03/06/2019;14000;
04/06/2019;14000;
10/06/2019;14000;
11/06/2019;14000;
12/06/2019;14000;
13/06/2019;14000;
14/06/2019;14000;
17/06/2019;14000;
18/06/2019;14000;
19/06/2019;14000;
20/06/2019;14000;
21/06/2019;14000;
24/06/2019;13900;
25/06/2019;13900;
26/06/2019;13900;
27/06/2019;13900;
28/06/2019;13900;
01/07/2019;13900;
02/07/2019;13900;
03/07/2019;13900;
04/07/2019;13900;
05/07/2019;13900;
08/07/2019;13900;
09/07/2019;13900;
10/07/2019;13900;
11/07/2019;15000;
12/07/2019;14000;
15/07/2019;15000;
16/07/2019;14000;
17/07/2019;14000;
18/07/2019;14000;
19/07/2019;14000;
22/07/2019;14000;
23/07/2019;13650;
24/07/2019;13650;
25/07/2019;13650;
26/07/2019;13650;
29/07/2019;13650;
30/07/2019;13650;
31/07/2019;13650;
01/08/2019;13650;
02/08/2019;13650;
05/08/2019;13650;
06/08/2019;13650;
07/08/2019;13650;
08/08/2019;13650;
09/08/2019;13650;
12/08/2019;13650;
13/08/2019;13650;
14/08/2019;13750;
15/08/2019;13750;
16/08/2019;13750;
19/08/2019;13900;
20/08/2019;13900;
21/08/2019;13900;
22/08/2019;13900;
23/08/2019;13900;
26/08/2019;13900;
27/08/2019;13900;
28/08/2019;13900;
29/08/2019;13900;
30/08/2019;13900;
02/09/2019;13900;
03/09/2019;13900;
04/09/2019;13900;
05/09/2019;13900;
06/09/2019;13900;
09/09/2019;13900;
10/09/2019;13900;
11/09/2019;13900;
12/09/2019;13900;
13/09/2019;13900;
16/09/2019;13900;
17/09/2019;13900;
18/09/2019;13900;
19/09/2019;13900;
20/09/2019;13900;
23/09/2019;13900;
24/09/2019;13900;
25/09/2019;13900;
26/09/2019;13900;
27/09/2019;13900;
30/09/2019;13900;
01/10/2019;13900;
02/10/2019;13900;
03/10/2019;13900;
04/10/2019;13900;
07/10/2019;13900;
08/10/2019;13900;
09/10/2019;13900;
10/10/2019;13900;
11/10/2019;13900;
14/10/2019;13900;
15/10/2019;13900;
16/10/2019;13900;
17/10/2019;13900;
18/10/2019;13900;
21/10/2019;13900;
22/10/2019;13900;
23/10/2019;13900;
24/10/2019;13900;
25/10/2019;13900;
28/10/2019;13900;
29/10/2019;13900;
30/10/2019;13900;
31/10/2019;13900;
01/11/2019;13900;
04/11/2019;13900;
05/11/2019;13900;
06/11/2019;13900;
07/11/2019;13900;
08/11/2019;13900;
11/11/2019;13900;
12/11/2019;13900;
13/11/2019;13900;
14/11/2019;13900;
15/11/2019;13900;
18/11/2019;13900;
19/11/2019;13900;
20/11/2019;13900;
21/11/2019;13900;
22/11/2019;13900;
25/11/2019;13900;
26/11/2019;13900;
27/11/2019;13900;
28/11/2019;13900;
29/11/2019;13900;
02/12/2019;13900;
03/12/2019;13900;
04/12/2019;13900;
05/12/2019;13900;
06/12/2019;13900;
09/12/2019;13900;
10/12/2019;13900;
11/12/2019;13900;
12/12/2019;13900;
13/12/2019;13900;
16/12/2019;13900;
17/12/2019;13900;
18/12/2019;13900;
19/12/2019;13900;
20/12/2019;13900;
23/12/2019;13900;
26/12/2019;13900;
27/12/2019;13900;
30/12/2019;13900;
31/12/2019;13900;
02/01/2020;13900;
03/01/2020;13900;
06/01/2020;14000;
07/01/2020;14000;
08/01/2020;14000;
09/01/2020;14000;
10/01/2020;14000;
13/01/2020;14000;
14/01/2020;14000;
15/01/2020;14250;
16/01/2020;14250;
17/01/2020;14250;
20/01/2020;14250;
21/01/2020;14250;
22/01/2020;14250;
23/01/2020;14250;
24/01/2020;14250;
27/01/2020;14250;
28/01/2020;14250;
29/01/2020;14250;
30/01/2020;14250;
31/01/2020;14250;
03/02/2020;14250;
04/02/2020;14250;
05/02/2020;14250;
06/02/2020;14250;
07/02/2020;14250;
10/02/2020;14250;
11/02/2020;14250;
12/02/2020;14250;
13/02/2020;14250;
14/02/2020;14250;
17/02/2020;14250;
18/02/2020;14250;
19/02/2020;14250;
20/02/2020;14250;
21/02/2020;14250;
24/02/2020;14250;
25/02/2020;14250;
26/02/2020;14250;
27/02/2020;14250;
28/02/2020;14250;
02/03/2020;14250;
03/03/2020;14250;
04/03/2020;14250;
05/03/2020;14250;
06/03/2020;14250;
09/03/2020;14250;
10/03/2020;14250;
11/03/2020;14250;
12/03/2020;14250;
13/03/2020;14250;
16/03/2020;14250;
17/03/2020;14250;
18/03/2020;14250;
19/03/2020;14250;
20/03/2020;14250;
23/03/2020;14250;
24/03/2020;14250;
26/03/2020;14250;
27/03/2020;14250;
30/03/2020;14250;
31/03/2020;14250;
01/04/2020;14250;
02/04/2020;14250;
03/04/2020;14250;
06/04/2020;14250;
07/04/2020;14250;
08/04/2020;14250;
09/04/2020;14250;
13/04/2020;14250;
14/04/2020;14250;
15/04/2020;14250;
16/04/2020;14250;
17/04/2020;14250;
20/04/2020;14250;
21/04/2020;14250;
22/04/2020;14250;
23/04/2020;14250;
24/04/2020;14250;
27/04/2020;14250;
28/04/2020;14250;
